Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Maria de Lujan Alvarez, Ariel D. Quiroga, Marıa Teresa Ronco, Juan Pablo Parody, J. Elena Ochoa, Juan A. Monti, Cristina E. Carnovale, Marıa Cristina Carrillo "	Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers	Cytokine 36 (2006) 245–253	10.1016/j.cyto.2007.01.002	2006				1		Mirrored blot	1				1	1
"Marilena Galdiero, Mariateresa Vitiello, Marina D’Isanto, Katia Raieta, Emilia Galdiero"	STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6	Cytokine 36 (2006) 218–228	10.1016/j.cyto.2006.12.003	2006			1			Multiple cases of duplicated blots	1				1	1
"Sawsan Ibrahim Kreydiyyeh, Sarine Markossian "	Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla	Cytokine 33 (2006) 138e144	10.1016/j.cyto.2005.12.007	2006			1			Multiple cases of duplicated blots	1				1	1
"Deok-Ho Song, Ji-Houn Kang, Geun-Shik Lee, Eui-Bae Jeung, Mhan-Pyo Yang "	Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway	Cytokine 37 (2007) 227–235	10.1016/j.cyto.2007.04.003	2007				1		"Duplicated gel, differently cut"	1				1	1
"Chung-Hsi Hsing, Hsing-Hui Li, Yu-Hsiang Hsu, Chung-Liang Ho, Shih-Sung Chuang, Kuo-Mao Lan, Ming-Shi Chang"	The distribution of interleukin-19 in healthy and neoplastic tissue	Cytokine 44 (2008) 221–228	10.1016/j.cyto.2008.06.007	2008				1		"Duplicated blot panel, stretched"	1				1	1
"M. Hyzd’alová, J. Hofmanová, J. Pacherník, A. Vaculová, A. KozubíkeSung"	The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation	Cytokine 44 (2008) 33–43	10.1016/j.cyto.2008.06.003	2008			1			Duplicated blot panel	1				1	1
"Taku Inokuchi, Tuneyoshi Ka, Asako Yamamoto, Yuji Moriwaki, Sumio Takahashi, Zenta Tsutsumi, Daisuke Tamada, Tetsuya Yamamoto"	Effects of ethanol on monosodium urate crystal-induced inflammation	Cytokine 42 (2008) 198–204	10.1016/j.cyto.2008.01.001	2008			1			Duplicated blot	1				1	1
"Zhao Huang, Qiong Wen, Shu-Feng Zhou, Xue-Qing Yu"	Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome	Cytokine 42 (2008) 222–233	10.1016/j.cyto.2008.02.005	2008			1			Duplicated whole figure; very likely error	1				1	1
"Aramati B.M. Reddy, Satish K. Srivastava, Kota V. Ramana"	Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis	Cytokine 48 (2009) 170–176	10.1016/j.cyto.2009.07.004	2009					1	"Duplicated/mirrored bands, manipulated"	1				1	1
"Kumiko Goto, Yoshihiko Chiba, Miwa Misawa"	IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells	Cytokine 46 (2009) 96–99	10.1016/j.cyto.2008.12.021	2009					1	Duplicated lane within blot	1				1	1
"Surinder Safaya, Elizabeth S. Klings, Adam Odhiambo, Guihua Li, Harrison W. Farber, Martin H. Steinberg"	Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells	Cytokine 46 (2009) 72–78	10.1016/j.cyto.2008.12.013	2009				1		Mirrored blot	1				1	1
"Yanping Yang, Ying Xu, Wei Li, Guanjun Wang, Yanqiu Song, Guozi Yang, Xue Han, Zhonghua Du, Luguo Sun, Kewei Ma"	STAT3 induces muscle stem cell differentiation by interaction with myoD	Cytokine 46 (2009) 137–141	10.1016/j.cyto.2008.12.015	2009				1		"Overlapping blots, two cases"	1				1	1
"Ari Kassardjian, Zeina Dakroub, Ola El Zein, Sawsan Ibrahim Kreydiyyeh"	Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells	Cytokine 49 (2010) 312–318	10.1016/j.cyto.2009.11.020	2010					1	"Duplicated yet altered blots, multiple cases"	1				1	1
"Hong Yu, Yuhao Sun, Courtney Haycraft, Viswanathan Palanisamy, Keith L. Kirkwood"	MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1	Cytokine 56 (2011) 245–255	10.1016/j.cyto.2011.06.006	2011			1			Duplicated negative blot	1				1	1
"Markus Neumeier, Sabrina Bauer, Hilke Bru_hl, Kristina Eisinger, Andrea Kopp, Sabine Abke, Roland Walter, Andreas Schäffler, Christa Buechler n"	"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes"	Cytokine 56 (2011) 573–580	10.1016/j.cyto.2011.08.017	2011				1		"Two cases of duplicated blots, different exposure"	1	6/1/2013		1		1
"Ping Chen, Liya Huang, Yunwei Sun, Yaozong Yuan"	Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury	Cytokine 54 (2011) 305–314	10.1016/j.cyto.2011.02.016	2011				1		"Overlapping microscopy, duplicated blots, multiple cases"	1				1	1
"Ye Zeng, Hu-Rong Sun, Chang Yu, Yi Lai, Xiao-Jing Liu, Jiang Wu, Huai-Qing Chen, Xiao-Heng Liu"	CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration	Cytokine 53 (2011) 42–51	10.1016/j.cyto.2010.09.007	2011					1	"Duplication, stretching, what not, the lot"	1				1	1
"Yue Wang, Ye Qu, Xiu Long Niu, Wei Jia Sun, Xiao Lei Zhang, Ling Zhi Li"	Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells	Cytokine 56 (2011) 365–375	10.1016/j.cyto.2011.06.005	2011					1	Duplicated bands in different order	1				1	1
"Hong-Xia Wang, Dong-Mei Zhang, Xiang-Jun Zeng, Jing Mu, Hui Yang, Ling-Qiao Lu, Li-Ke Zhang"	"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway"	Cytokine 60 (2012) 360–368	10.1016/j.cyto.2012.04.029	2012					1	"Duplicated blot, lanes within blot"	1				1	1
"Muyao Li, Mickey E. Gunter, Naomi K. Fukagawa"	Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ‘‘six-mix’’ amphiboles and subsequent activation of BEAS-2B cells	Cytokine 60 (2012) 718–730	10.1016/j.cyto.2012.08.025	2012			1			Duplicated actin blot	1	6/1/2017		1		1
